,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
14,14,St Patrick Interparish School,550 NE 16th Ave,GAINESVILLE,FL,32601,29.667398,-82.319288,611110,61111007,Elementary & Secondary Schools,0,60.0,0,60,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
18,18,Sweetwater Branch Academy,1000 NE 16th Ave # C,GAINESVILLE,FL,32601,29.667291,-82.313402,611110,61111010,Elementary & Secondary Schools,0,16.0,0,16,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
177,177,First Presbyterian Preschool,106 SW 3rd St,GAINESVILLE,FL,32601,29.651039,-82.327958,611110,61111004,Elementary & Secondary Schools,0,18.0,0,18,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
635,635,FRIENDS MRNING MEADOW PRE SCH,503 NE 9TH ST,GAINESVILLE,FL,32601,29.655874,-82.314447,611110,61111007,ELEMENTARY & SECONDARY SCHOOLS,0,15.0,0,15,1329,509,540,789,41%,59%,904,425,0,0,0,0,0,144,760,68.02106847,31.97893153,0.0,0.0,0.0,0.0,0.0,10.83521445,2.61,428,536,282,166,27,522,421,0,40,35,14,0,12,529,666,69,71,11,74,44,33,61,25,16,54,15,14,22,0,0,0,28705,16.77953348,41.0082769
652,652,Loga Springs Intl Academy,931 NE 16th Ave,GAINESVILLE,FL,32601,29.666501,-82.312729,611110,61111007,Elementary & Secondary Schools,0,3.0,0,3,711,437,297,414,42%,58%,617,68,0,0,0,0,26,28,589,86.77918425,9.56399437,0.0,0.0,0.0,0.0,3.65682138,3.93811533,1.63,48,245,319,198,46,403,331,0,72,0,0,0,0,111,600,0,21,0,51,84,29,14,28,11,55,15,65,13,17,19,15,41741,17.72151899,2.39099859
709,709,J J Finley Elementary School,1912 NW 5th Ave,GAINESVILLE,FL,32603,29.656738,-82.35052900000001,611110,61111007,Elementary & Secondary Schools,0,66.0,0,66,1918,612,963,955,50%,50%,1808,39,0,28,0,43,0,152,1695,94.26485923,2.03336809,0.0,1.45985401,0.0,2.24191867,0.0,7.92492179,3.09,125,1528,206,118,22,940,696,0,83,0,43,0,118,1291,614,216,0,40,15,39,0,0,45,10,0,85,29,70,9,23,31,29630,6.56934307,53.43189018
742,742,Coalition for School Readiness,1204 NW 13th St,GAINESVILLE,FL,32601,29.664005,-82.339501,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,740,325,266,474,36%,64%,726,0,0,0,0,0,14,13,713,98.10810811,0.0,0.0,0.0,0.0,0.0,1.89189189,1.75675676,2.28,130,202,214,388,46,431,418,0,0,0,13,0,0,277,451,0,0,0,45,0,48,0,0,29,16,28,30,58,14,24,33,71771,8.91891892,18.51351351
973,973,Westwood Middle School,3215 NW 15th Ave,GAINESVILLE,FL,32605,29.664091,-82.371418,611110,61111007,Elementary & Secondary Schools,0,93.0,0,93,602,239,321,281,53%,47%,602,0,0,0,0,0,0,54,548,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97009967,2.52,128,171,192,222,41,275,219,6,11,0,12,0,27,162,411,17,12,0,0,0,0,0,0,11,19,31,24,28,0,43,54,105859,17.77408638,9.80066445
1137,1137,DESOTO HIGH SCHOOL INC,4209 NW 75TH ST,GAINESVILLE,FL,32606,29.692587,-82.4219,611110,61111007,ELEMENTARY & SECONDARY SCHOOLS,0,15.0,0,15,4273,1656,2181,2092,51%,49%,3052,313,0,812,0,18,78,263,2822,71.42522818,7.32506436,0.0,19.00304236,0.0,0.42124971,1.8254153999999998,6.15492628,2.57,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,2708,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259,60288,15.328808800000003,11.70138076
1153,1153,B'Nai Israel,3830 NW 16th Blvd,GAINESVILLE,FL,32605,29.671583000000002,-82.381124,611110,61111007,Elementary & Secondary Schools,0,20.0,0,20,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
2480,2480,Persimmon Early Learning Acad,1121 NW 6th St,GAINESVILLE,FL,32601,29.662681,-82.329982,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2715,2715,Florida High School Athlectic,1801 NW 80th Blvd,GAINESVILLE,FL,32606,29.670367,-82.429789,611110,61111007,Elementary & Secondary Schools,0,23.0,0,23,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
2718,2718,Fort Clarke Middle School,9301 NW 23rd Ave,GAINESVILLE,FL,32606,29.672158000000003,-82.441357,611110,61111007,Elementary & Secondary Schools,0,100.0,0,100,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
2725,2725,Hidden Oak Elementary School,2100 Fort Clarke Blvd,GAINESVILLE,FL,32606,29.672867,-82.439285,611110,61111007,Elementary & Secondary Schools,0,82.0,0,82,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
2862,2862,St Francis Catholic High Schl,4100 NW 115th Ter,GAINESVILLE,FL,32606,29.693032000000002,-82.466066,611110,61111007,Elementary & Secondary Schools,0,27.0,0,27,1445,468,691,754,48%,52%,1282,20,27,50,0,0,66,0,1282,88.71972318,1.38408304,1.86851211,3.46020761,0.0,0.0,4.56747405,0.0,3.09,531,157,567,380,41,525,474,0,0,0,0,0,51,564,859,0,29,0,0,0,0,101,0,0,0,20,181,58,36,27,16,81774,17.92387543,0.0
2871,2871,Trilogy School,8700 NW 23rd Ave,GAINESVILLE,FL,32606,29.675117999999998,-82.435148,611110,61111007,Elementary & Secondary Schools,0,12.0,0,12,1445,468,691,754,48%,52%,1282,20,27,50,0,0,66,0,1282,88.71972318,1.38408304,1.86851211,3.46020761,0.0,0.0,4.56747405,0.0,3.09,531,157,567,380,41,525,474,0,0,0,0,0,51,564,859,0,29,0,0,0,0,101,0,0,0,20,181,58,36,27,16,81774,17.92387543,0.0
2991,2991,Blue Wave After School Program,1080 SW 11th St,GAINESVILLE,FL,32601,29.641083000000002,-82.335473,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,2105,1026,1141,964,54%,46%,1533,278,0,227,21,9,37,243,1299,72.82660333,13.20665083,0.0,10.78384798,0.9976246999999999,0.42755344,1.75771971,11.54394299,1.83,47,1610,368,160,26,897,498,10,109,132,96,13,39,1169,936,345,72,59,39,90,38,62,34,76,67,64,54,2,0,0,24,22372,9.21615202,49.07260201
3008,3008,P K Yonge Developmental School,1080 SW 11th St,GAINESVILLE,FL,32601,29.641083000000002,-82.335473,611110,61111007,Elementary & Secondary Schools,0,40.0,0,40,2105,1026,1141,964,54%,46%,1533,278,0,227,21,9,37,243,1299,72.82660333,13.20665083,0.0,10.78384798,0.9976246999999999,0.42755344,1.75771971,11.54394299,1.83,47,1610,368,160,26,897,498,10,109,132,96,13,39,1169,936,345,72,59,39,90,38,62,34,76,67,64,54,2,0,0,24,22372,9.21615202,49.07260201
3096,3096,Cornerstone Academy,3401 NW 34th St,GAINESVILLE,FL,32605,29.683959,-82.371643,611110,61111007,Elementary & Secondary Schools,0,40.0,0,40,1799,702,933,866,52%,48%,1611,42,15,67,0,0,64,131,1498,89.54974986,2.33463035,0.83379655,3.72429127,0.0,0.0,3.55753196,7.28182324,2.56,304,479,566,900,47,804,676,0,17,0,0,34,77,451,1302,19,14,14,39,10,0,48,0,26,27,86,64,92,92,61,110,100400,16.39799889,3.6131184000000003
3159,3159,Gainesville 7th Day Adventist,2115 NW 39th Ave,GAINESVILLE,FL,32605,29.687915000000004,-82.352373,611110,61111004,Elementary & Secondary Schools,0,3.0,0,3,1834,902,805,1029,44%,56%,1411,259,18,116,0,20,10,67,1344,76.93565976,14.122137400000002,0.98146129,6.32497274,0.0,1.09051254,0.54525627,3.65321701,2.03,204,800,598,464,33,1238,1132,0,33,18,0,11,44,552,1260,80,12,106,15,51,64,0,41,84,135,36,71,73,31,20,83,49921,19.19302072,19.62922574
3161,3161,Glen Springs Elementary School,2826 NW 31st Ave,GAINESVILLE,FL,32605,29.682716,-82.364906,611110,61111007,Elementary & Secondary Schools,0,60.0,0,60,1834,902,805,1029,44%,56%,1411,259,18,116,0,20,10,67,1344,76.93565976,14.122137400000002,0.98146129,6.32497274,0.0,1.09051254,0.54525627,3.65321701,2.03,204,800,598,464,33,1238,1132,0,33,18,0,11,44,552,1260,80,12,106,15,51,64,0,41,84,135,36,71,73,31,20,83,49921,19.19302072,19.62922574
3200,3200,A Child's Dream,4127 NW 34th St,GAINESVILLE,FL,32605,29.691682,-82.371672,611110,61111007,Elementary & Secondary Schools,0,14.0,0,14,724,318,357,367,49%,51%,394,294,0,19,0,0,17,84,361,54.419889500000004,40.60773481,0.0,2.62430939,0.0,0.0,2.3480662999999997,11.60220994,2.28,83,233,204,408,51,455,403,0,0,52,0,0,0,157,552,0,0,0,33,62,0,52,0,15,15,30,47,64,0,0,0,49500,9.116022099999999,0.0
3273,3273,Norton Elementary School,2200 NW 45th Ave,GAINESVILLE,FL,32605,29.697277000000003,-82.354551,611110,61111007,Elementary & Secondary Schools,0,85.0,0,85,1805,615,1097,708,61%,39%,1429,34,89,34,0,120,99,395,1132,79.16897507,1.88365651,4.93074792,1.88365651,0.0,6.64819945,5.48476454,21.88365651,2.93,333,699,640,266,33,1105,960,0,0,34,0,11,100,295,1438,11,0,0,0,20,35,17,0,13,69,147,151,21,103,23,5,71696,17.00831025,3.76731302
3449,3449,ALACHUA CNTY COAL SCH READNESS,4035 NW 43RD ST,GAINESVILLE,FL,32606,29.689976,-82.38754899999999,611110,61111007,ELEMENTARY & SECONDARY SCHOOLS,0,15.0,0,15,2804,1146,1314,1490,47%,53%,2039,210,4,512,0,17,22,347,1709,72.71754636,7.489300999999999,0.14265335,18.2596291,0.0,0.60627675,0.78459344,12.37517832,2.45,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,2010,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32,57500,14.87161198,15.47788873
3580,3580,F W Buchholz High School,5510 NW 27th Ave,GAINESVILLE,FL,32606,29.678548,-82.401964,611110,61111007,Elementary & Secondary Schools,0,185.0,0,185,2245,898,1183,1062,53%,47%,1558,348,0,110,0,76,153,291,1459,69.3986637,15.50111359,0.0,4.89977728,0.0,3.38530067,6.81514477,12.96213808,2.47,403,746,850,492,40,1061,1022,25,0,3,0,0,11,684,1485,21,0,18,0,81,140,63,56,19,150,100,100,45,59,6,40,54063,17.19376392,2.93986637
3820,3820,Brentwood School,1111 NW 55th St,GAINESVILLE,FL,32605,29.662740000000003,-82.401074,611110,61111007,Elementary & Secondary Schools,0,35.0,0,35,1791,629,853,938,48%,52%,1447,139,6,180,0,0,19,0,1447,80.79285315,7.76102736,0.33500838,10.05025126,0.0,0.0,1.06085985,0.0,2.85,305,535,493,916,44,1063,957,0,0,0,30,16,60,505,1249,23,0,15,0,0,46,25,16,29,15,18,89,96,157,71,29,104554,25.90731435,2.56839754
4059,4059,A Quinn Jones School,1108 NW 7th Ave,GAINESVILLE,FL,32601,29.657984999999996,-82.336109,611110,61111007,Elementary & Secondary Schools,0,64.0,0,64,1270,344,937,333,74%,26%,1079,63,0,21,0,0,107,137,976,84.96062992,4.96062992,0.0,1.65354331,0.0,0.0,8.42519685,10.78740157,3.69,7,1178,72,26,22,487,223,0,63,0,40,0,161,1097,173,117,78,54,13,0,0,82,0,0,0,0,0,0,0,0,0,13850,0.0,74.96062992
4132,4132,Anchor Center School,312 NW 16th Ave,GAINESVILLE,FL,32601,29.667023999999998,-82.32737900000001,611110,61111007,Elementary & Secondary Schools,0,120.0,0,120,1555,836,829,726,53%,47%,882,599,19,24,0,0,31,26,882,56.72025723,38.52090032,1.22186495,1.54340836,0.0,0.0,1.99356913,1.67202572,1.86,262,711,482,200,28,822,678,15,87,12,18,0,12,488,1052,171,104,89,40,86,57,17,15,35,128,15,34,31,14,0,0,25700,13.63344051,34.01929260000001
4153,4153,Sidney Lanier Schools,312 NW 16th Ave,GAINESVILLE,FL,32601,29.667023999999998,-82.32737900000001,611110,61111007,Elementary & Secondary Schools,0,100.0,0,100,1555,836,829,726,53%,47%,882,599,19,24,0,0,31,26,882,56.72025723,38.52090032,1.22186495,1.54340836,0.0,0.0,1.99356913,1.67202572,1.86,262,711,482,200,28,822,678,15,87,12,18,0,12,488,1052,171,104,89,40,86,57,17,15,35,128,15,34,31,14,0,0,25700,13.63344051,34.01929260000001
4485,4485,Littlewood Elementary School,812 NW 34th St,GAINESVILLE,FL,32605,29.66047,-82.374051,611110,61111007,Elementary & Secondary Schools,0,85.0,0,85,1971,863,986,985,50%,50%,1704,142,7,63,0,55,0,65,1704,86.45357686,7.20446474,0.35514967,3.19634703,0.0,2.79046169,0.0,3.29781837,2.28,273,603,643,904,46,944,650,39,104,34,0,13,104,498,1417,87,11,0,45,15,38,0,15,100,74,155,111,76,72,25,39,67431,19.12734652,6.3419584
4670,4670,Millhopper Montessori School,8505 NW 39th Ave,GAINESVILLE,FL,32606,29.688076000000002,-82.433983,611110,61111007,Elementary & Secondary Schools,0,34.0,0,34,4107,1718,2333,1774,57%,43%,2580,1158,0,141,0,52,176,337,2402,62.81957633,28.19576333,0.0,3.43316289,0.0,1.266131,4.28536645,8.2055028,2.37,556,1731,880,1880,31,1655,1447,12,23,92,38,0,43,1686,2406,342,37,183,125,181,49,215,17,13,64,171,145,85,28,57,6,28125,13.44046749,36.71779888
4956,4956,Alachua County Public Schools,620 E University Ave,GAINESVILLE,FL,32601,29.652633,-82.318983,611110,61111007,Elementary & Secondary Schools,0,100.0,0,100,479,309,246,233,51%,49%,456,0,0,0,0,0,23,62,394,95.19832985,0.0,0.0,0.0,0.0,0.0,4.80167015,12.94363257,1.55,16,251,198,28,34,358,114,0,108,53,29,0,54,179,300,59,13,0,35,0,40,0,0,0,41,33,25,28,0,12,23,50457,16.49269311,17.95407098
4973,4973,Schools Public Teaching,620 E University Ave,GAINESVILLE,FL,32601,29.652633,-82.318983,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,479,309,246,233,51%,49%,456,0,0,0,0,0,23,62,394,95.19832985,0.0,0.0,0.0,0.0,0.0,4.80167015,12.94363257,1.55,16,251,198,28,34,358,114,0,108,53,29,0,54,179,300,59,13,0,35,0,40,0,0,0,41,33,25,28,0,12,23,50457,16.49269311,17.95407098
5158,5158,Metcalfe Elementary School,1205 NE 18th Ave,GAINESVILLE,FL,32609,29.668206,-82.309983,611110,61111007,Elementary & Secondary Schools,0,115.0,0,115,965,415,398,567,41%,59%,349,616,0,0,0,0,0,137,212,36.16580311,63.83419689,0.0,0.0,0.0,0.0,0.0,14.19689119,2.33,58,296,555,112,45,658,581,0,0,54,0,0,23,182,783,38,40,0,10,96,12,0,0,36,25,68,0,90,0,0,0,45799,23.73056995,11.70984456
5172,5172,Alachua County Public Schools,3501 NE 12th St,GAINESVILLE,FL,32609,29.684787,-82.310389,611110,61111007,Elementary & Secondary Schools,0,10.0,0,10,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5192,5192,Head Start Schools Public,3600 NE 15th St,GAINESVILLE,FL,32609,29.68686,-82.305838,611110,61111007,Elementary & Secondary Schools,0,25.0,0,25,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5198,5198,Marjorie K Rawlings Elementary,3500 NE 15th St,GAINESVILLE,FL,32609,29.684421999999998,-82.309184,611110,61111007,Elementary & Secondary Schools,0,70.0,0,70,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5232,5232,Hoggetowne Middle School Inc,1717 NE 9th St # A,GAINESVILLE,FL,32609,29.668207000000002,-82.314743,611110,61111007,Elementary & Secondary Schools,0,16.0,0,16,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
5233,5233,Howard W Bishop Middle School,1901 NE 9th St,GAINESVILLE,FL,32609,29.668926000000003,-82.312782,611110,61111007,Elementary & Secondary Schools,0,130.0,0,130,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
5366,5366,Campus Church of Christ,2720 SW 2nd Ave,GAINESVILLE,FL,32607,29.651156,-82.362873,611110,61111004,Elementary & Secondary Schools,0,6.0,0,6,1297,389,675,622,52%,48%,1297,0,0,0,0,0,0,33,1264,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54433308,3.33,86,931,212,136,22,537,337,0,152,19,0,0,29,860,415,46,33,36,35,45,17,12,0,0,0,9,87,37,0,8,24,29821,7.86430224,60.83269082
5442,5442,Gainesville High School,1900 NW 13th St,GAINESVILLE,FL,32609,29.668793,-82.34055699999999,611110,61111007,Elementary & Secondary Schools,0,190.0,0,190,1809,835,915,894,51%,49%,1707,26,0,49,0,0,27,124,1598,94.3615257,1.43725815,0.0,2.70867883,0.0,0.0,1.49253731,6.85461581,2.17,265,692,352,1000,38,897,664,13,119,0,36,0,65,472,1314,47,29,16,59,9,24,0,62,25,55,95,152,102,28,75,57,72375,20.50856827,4.47761194
